epoch,lr,loss,iou,dice,hd95,f1,ap,ap50,ap95,val_loss,val_iou,val_dice,val_hd95,val_f1,val_ap,val_ap50,val_ap95,training_time
0,0.001,0.6289620355954246,0.6253992872335596,0.7590542281329468,5.353190448197105,0.7590494116240113,0.7895660138729741,0.7060392648758622,0.8730927628700835,0.3563676896638104,0.6928006474063676,0.7884587678569328,10.952138379294823,0.7884539879685281,0.823010541205482,0.7878803352172673,0.8581407471936983,1:48:20
1,0.0009990232305719944,0.26879138993838475,0.7327363680206976,0.842852806096614,2.3678553227659633,0.8428478178654074,0.8672696120767602,0.8367605617030659,0.8977786624504552,0.2792541907168925,0.7266832367781684,0.8108132953896516,8.308562753539,0.8108085222347183,0.8347013032326385,0.7948854185604354,0.8745171879048422,1:48:20
2,0.0009960967771506664,0.23695792106408922,0.7549530464143701,0.8573339224360255,2.051262876018639,0.8573289274796054,0.8786771988562903,0.8528705462064844,0.9044838515060964,0.26404782351372497,0.7422880958124042,0.8241323844583016,5.902290789231467,0.8241275675188774,0.8810371426448266,0.8464003542558167,0.9156739310338371,1:48:20
3,0.0009912321891107007,0.22989973534667302,0.7626285390588486,0.8623514136978757,1.9534776900362139,0.8623464181309992,0.881960209110897,0.8571773941223814,0.9067430240994107,0.31142458536529116,0.6964158281420745,0.7854910330380912,13.531830856964259,0.7854863374068936,0.7931423949214975,0.7482655705156398,0.8380192193273546,1:48:20
4,0.0009844486647586721,0.22783507129975727,0.7643152186299487,0.8637590440036306,1.9555553931759093,0.863754048401141,0.882832417766898,0.8581788271810479,0.9074860083527477,0.2387131681532732,0.7656907647455297,0.8421685138985495,6.113623449960228,0.8421636497563733,0.8643839197724597,0.8451995087765288,0.8835683307683886,1:48:20
5,0.0009757729755661009,0.22134821547402275,0.7708673383043125,0.8678173659223545,1.8996971247337808,0.8678123695947433,0.8860271106837773,0.8621616480871297,0.9098925732804238,0.23899596779873328,0.7711054057793126,0.8470936080321178,5.790893477305136,0.8470887191463718,0.8667087783441925,0.8459902787421104,0.8874272779462743,1:48:20
6,0.0009652393605146842,0.21898108313954065,0.7744859443704784,0.869893873173629,1.8530749554360855,0.8698888764642878,0.8875221910993484,0.8639632538188897,0.9110811283798071,0.22674208075207258,0.7858443335498018,0.8576343779950439,5.05105573908778,0.8576294785434305,0.8773161228474367,0.8590288956206934,0.8956033500741781,1:48:20
7,0.0009528893909706795,0.21783579013177326,0.7746218475282738,0.8702502391647157,1.8582894358606183,0.8702452421969231,0.8884081767879122,0.8638923717248226,0.912923981851002,0.21842973016734635,0.7957020204234373,0.8652123870846065,4.48751176701824,0.8652074659172507,0.8910629047491205,0.8695837102699561,0.9125420992282846,1:48:20
8,0.0009387718066217122,0.21892357991328315,0.7738753565780244,0.8695356902242524,1.8786009051892423,0.8695306938884584,0.8885019263073352,0.8640070842464236,0.9129967683682475,0.2422823375423572,0.7804719124198637,0.8574449194031581,7.403320098324045,0.8574399762884581,0.8669992749220937,0.8457020115912877,0.8882965382529027,1:48:20
9,0.0009229423231234972,0.21634737870522908,0.7770864231127248,0.8713829532959592,1.8548050918269856,0.8713779566111568,0.8894961959992277,0.8656579309058497,0.9133344610926055,0.2224124092542167,0.7966353947917396,0.8677367728435211,4.552551547105328,0.8677318276045574,0.896554284176485,0.8764790375749534,0.9166295307780189,1:48:20
10,0.0009054634122155987,0.21295286879416497,0.7810242672288261,0.874040870212282,1.7905474803145334,0.8740358727623353,0.8924970216069468,0.8682743282496527,0.9167197149642408,0.2214306223272745,0.7900462241115018,0.8609897566677994,4.316876000526172,0.860984847436996,0.8977422210026561,0.8823908827304352,0.913093559274877,1:48:20
11,0.0008864040551740153,0.21907517410933025,0.7740850187793458,0.8699937030007591,1.8919405571850971,0.8699887064759488,0.8892497390254137,0.8650021898391731,0.9134972882116542,0.23231383483590826,0.7879129843517991,0.8618100172962525,5.406680914765094,0.8618050748960784,0.8802811524575639,0.8604003850517948,0.900161919863332,1:48:20
12,0.0008658394705735984,0.2118271608083021,0.7818279807407904,0.874352252077789,1.8308009799471392,0.874347254834097,0.8918075884695581,0.8683010032189874,0.9153141737201285,0.22045019292272627,0.7933457339794199,0.86360818080052,5.060200193707749,0.8636032603735725,0.8838538342930943,0.8626557131686415,0.9050519554175479,1:48:20
13,0.0008438508174347006,0.21309543645807674,0.7801880304916894,0.8736851118810424,1.8026525207444741,0.8736801149345343,0.8918026084149321,0.8677233290145198,0.9158818878153424,0.21724787027175937,0.7996545740881712,0.8684740305867693,4.282996607550453,0.8684691018119354,0.886974049617057,0.8673636330648885,0.9065844661692256,1:48:20
14,0.000820524874925601,0.21245726693480735,0.7810018057511471,0.8741821894089097,1.7918246535886684,0.8741771924865368,0.8922334235973476,0.8680026590549457,0.9164641881397504,0.2204666751104274,0.7961132490830026,0.8661296365452397,5.346842150615949,0.8661247088534877,0.881514043294675,0.8604923909000666,0.902535695689282,1:48:20
15,0.000795953699884774,0.21138178210646388,0.7814101712601075,0.8743434134575526,1.8193455378554106,0.8743384163833031,0.89286195593042,0.8688613221749898,0.9168625896858477,0.21229900270700455,0.7959238750798036,0.8641850250247128,3.92170281862979,0.8641801209597713,0.8976309547891748,0.8780162468603108,0.9172456627180376,1:48:20
16,0.000770234263514603,0.21086712353049764,0.7798980992734682,0.8731866535869349,1.8791607040900855,0.8731816565574295,0.8924317200324965,0.8675622826112721,0.9173011574537224,0.22206881663961603,0.794749284727831,0.8644302951506386,4.203613132562236,0.864425384819736,0.864996003134632,0.8446070653488822,0.8853849409203827,1:48:20
17,0.0007434680686803488,0.20816158062172316,0.7856300440909195,0.8770265449622592,1.7701498114918373,0.8770215475210816,0.8955429920672688,0.8713162337381398,0.9197697503964004,0.2170132940169424,0.7899414023469853,0.8583597614857648,4.105261814584552,0.8583548849530351,0.879975218525125,0.8567158090473139,0.9032346280029365,1:48:20
18,0.0007157607493247108,0.2081049640382093,0.7858258522553341,0.8768767507560614,1.777861197355327,0.876871753446384,0.8953627406704029,0.870737333041862,0.9199881482989447,0.2147486688369619,0.8057714637762063,0.8736847972254367,3.661688011989982,0.8736798483460669,0.8956621443166188,0.8763076566586006,0.9150166319746393,1:48:20
19,0.0006872216535789154,0.21148375529381963,0.7802890546129828,0.8732891508690962,1.8076518429217552,0.8732841539681991,0.8932595047674434,0.8681182784337659,0.9184007311011205,0.21214478428342512,0.7985567504306421,0.8657895801527774,3.9284069680461022,0.865784673963534,0.889685732941003,0.8667654998333284,0.9126059660486762,1:48:20
20,0.0006579634122155987,0.20525854762111392,0.787768050042748,0.8783652792815495,1.7805937151973175,0.8783602815584722,0.8992417965284567,0.8724631395664458,0.9260204534904678,0.21652286000150656,0.8079373701222643,0.8763646583672552,4.4983940410223076,0.8763596933104889,0.8905573435257015,0.870685512800233,0.9104291742511718,1:48:20
21,0.0006281014941466028,0.20589383685636142,0.7870638337359204,0.8780776789988443,1.7657218037409028,0.8780726814770033,0.8989763388732798,0.8723274505836365,0.9256252271629231,0.24268808565102518,0.7724379490179412,0.8479782132955485,6.768400368142996,0.8479733127410088,0.888933339847667,0.8650581495596942,0.912808530135638,1:48:20
22,0.0005977537507199335,0.2041849505688463,0.7900002240848795,0.8798895192730621,1.6979592127475596,0.8798845217010736,0.9002424924913959,0.8739189721431196,0.9265660128396737,0.21710088861707066,0.7930398580492051,0.862602603781792,5.327845811141093,0.8625976969798307,0.8867365694607907,0.8576847024386337,0.9157884364829479,1:48:20
23,0.0005670399506143305,0.20408337920431108,0.7876393271249277,0.8781066473801798,1.7794853993317417,0.8781016498122172,0.9006146411456538,0.872282556102923,0.9289467261883836,0.2191411204769143,0.7917978827674717,0.8608833009917578,4.086354122894093,0.860878405223353,0.8938184057609662,0.8698533610603472,0.9177834504615845,1:48:20
24,0.0005360813071670099,0.20446269949750295,0.7863679573502865,0.8771872132812223,1.765634350705823,0.8771822156432775,0.9000281527987555,0.8716951691895252,0.9283611364079856,0.25277326930580396,0.7510386006212826,0.8307648234538788,9.673662912610878,0.8307599919583311,0.8385918211498518,0.8094733920642092,0.8677102502354936,1:48:20
25,0.0005049999999999998,0.20305904969573021,0.7870576057112318,0.877996767560932,1.7937314108057665,0.8779917700667131,0.9015909170277313,0.8717403530301737,0.931441481025288,0.21407005391748887,0.7998749081870438,0.8670219278241598,3.936653236380875,0.8670170288378655,0.8816907650131259,0.8611210006764864,0.902260529349765,1:48:20
26,0.0004739186928329897,0.20218444640437763,0.7882589603522846,0.878490450681582,1.7688592643945702,0.8784854531328491,0.9013202918031694,0.8713815212951135,0.9312590623112221,0.2231166364026389,0.7956907151044713,0.8661701748225946,4.416052594381198,0.8661652482631668,0.8810111961856977,0.8591550343214932,0.9028673580499037,1:48:20
27,0.0004429600493856692,0.20219684465536997,0.7886134868542198,0.878705773931726,1.747502892995796,0.8787007769088507,0.9004997531742979,0.8710121446943888,0.9299873616542073,0.21816592644234853,0.7911305095297038,0.8609768261327853,4.324954893304631,0.8609719375791852,0.8910330964999729,0.864770648297244,0.9172955447027018,1:48:20
28,0.0004122462492800661,0.1997949874708577,0.7892067152333424,0.878745184343664,1.7714814332463975,0.8787401878238323,0.902394477169796,0.8703631456759047,0.9344258086636891,0.21869003124801176,0.7956330967231326,0.8660415259682605,4.714945674368931,0.8660366087742509,0.87772330383727,0.8536272432367126,0.9018193644378266,1:48:20
29,0.0003818985058533967,0.19875610665906043,0.7896294981901855,0.8790403702047662,1.7404127316991223,0.8790353737338608,0.9032672437548211,0.8701649689299531,0.9363695185796895,0.22179044568245965,0.7959184476208878,0.8659381576471139,4.104771407308029,0.8659332462914527,0.8851895553738602,0.8660956144292355,0.904283496318485,1:48:20
30,0.00035203658778440103,0.1975081129561341,0.7907842819118148,0.8802105727085197,1.7285739666392554,0.8802055763545787,0.9042565963073712,0.870876507065683,0.9376366855490602,0.21763166963521924,0.7915172857403455,0.8608917436652475,5.219077405236294,0.8608868507780257,0.8773438914492641,0.8490226231605652,0.9056651597379636,1:48:20
20,0.0006579634122155987,0.20525854762111392,0.787768050042748,0.8783652792815495,1.7805937151973175,0.8783602815584722,0.8992417965284567,0.8724631395664458,0.9260204534904678,0.21652286000150656,0.8079373701222643,0.8763646583672552,4.4983940410223076,0.8763596933104889,0.8905573435257015,0.870685512800233,0.9104291742511718,1:48:20
